fold,best_epoch,best_score,proxy_selection_score,source_task1_auc_init,source_task1_retention_floor,source_task1_retention_pass,source_task1_sanity_floor,source_task1_sanity_pass,checkpoint_selected_from_proxy_fallback,val_cows,val_n,val_auc,val_f1,val_f1_opt,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_cow_auc,val_cow_f1,val_cow_f1_opt,temperature,val_calibrated_auc,val_calibrated_f1_opt,val_calibrated_cow_auc,source_task1_auc,source_task1_f1,source_task1_f1_opt,source_task1_balanced_accuracy,source_task1_precision,source_task1_recall,source_task1_best_threshold,source_task2_accuracy
0,8,0.9262289068231842,0.9262289068231842,0.5882352941176471,0.558235294117647,True,0.7,False,False,"354,402,415,428",76,0.8950843727072635,0.041666666666666664,0.8214285714285714,0.39473684210526316,0.5106382978723404,1.0,0.02127659574468085,1.0,0.0,0.8,10.0,0.8950843727072635,0.7642276422764228,1.0,0.611764705882353,0.625,0.7857142857142857,0.5647058823529412,0.6521739130434783,0.6,0.39999999999999997,0.4523809523809524
1,0,0.4372596153846154,0.4372596153846154,0.5882352941176471,0.558235294117647,True,0.7,False,False,"323,387,425,432",42,0.34134615384615385,0.0,0.5517241379310345,0.6190476190476191,0.5,0.0,0.0,0.5,0.0,0.6666666666666666,0.9397969245910645,0.34134615384615385,0.5517241379310345,0.5,0.5952941176470588,0.7857142857142857,0.7857142857142857,0.6752941176470588,0.7096774193548387,0.88,0.44999999999999996,0.4523809523809524
2,0,0.4584782608695652,0.4584782608695652,0.5882352941176471,0.558235294117647,True,0.7,False,False,"394,406,426,438",43,0.3521739130434783,0.4,0.6349206349206349,0.6511627906976745,0.625,1.0,0.25,0.5,0.0,0.6666666666666666,1.1613192558288574,0.3521739130434783,0.6349206349206349,0.5,0.5905882352941176,0.7857142857142857,0.7857142857142857,0.6752941176470588,0.7096774193548387,0.88,0.44999999999999996,0.4523809523809524
3,32,0.8480324074074073,0.8480324074074073,0.5882352941176471,0.558235294117647,True,0.7,False,False,"310,405,421,439",70,0.7800925925925926,0.0,0.8709677419354839,0.22857142857142856,0.5,0.0,0.0,1.0,0.0,1.0,10.0,0.7800925925925926,0.8709677419354839,1.0,0.6188235294117647,0.3902439024390244,0.7857142857142857,0.42470588235294116,0.5,0.32,0.3,0.4523809523809524
4,0,0.8223529411764706,0.8223529411764706,0.5882352941176471,0.558235294117647,True,0.7,False,False,"255,352,355,446",49,0.7098039215686274,0.45454545454545453,0.8192771084337349,0.5102040816326531,0.6470588235294118,1.0,0.29411764705882354,1.0,0.0,1.0,10.0,0.7098039215686274,0.8192771084337349,1.0,0.5952941176470588,0.7857142857142857,0.7857142857142857,0.6752941176470588,0.7096774193548387,0.88,0.44999999999999996,0.4523809523809524
