fold,best_epoch,best_score,val_cows,val_n,val_auc,val_f1,val_f1_opt,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_tn,val_fp,val_fn,val_tp,val_cow_auc,val_cow_f1,val_cow_f1_opt,temperature,val_calibrated_auc,val_calibrated_f1_opt,val_calibrated_cow_auc
0,4,0.8199468085106383,"354,402,415,428",76,0.8686720469552458,0.041666666666666664,0.3728813559322034,0.39473684210526316,0.5106382978723404,1.0,0.02127659574468085,29,0,46,1,0.75,0.0,0.6666666666666666,10.0,0.8686720469552458,0.7642276422764228,0.75
1,61,0.8704326923076923,"323,387,425,432",42,0.7932692307692307,0.0,0.0,0.6190476190476191,0.5,0.0,0.0,26,0,16,0,1.0,0.0,0.0,8.960166931152344,0.7932692307692307,0.5517241379310345,0.75
2,1,0.8543478260869565,"394,406,426,438",43,0.7652173913043478,0.0,0.6349206349206349,0.5348837209302325,0.5,0.0,0.0,23,0,20,0,1.0,0.0,0.6666666666666666,9.52664566040039,0.7652173913043478,0.6349206349206349,1.0
3,1,0.806712962962963,"310,405,421,439",70,0.7037037037037037,0.1694915254237288,0.8709677419354839,0.3,0.5462962962962963,1.0,0.09259259259259259,16,0,49,5,1.0,0.0,1.0,10.0,0.7037037037037037,0.8709677419354839,1.0
4,48,0.9305882352941177,"255,352,355,446",49,0.8901960784313726,0.05714285714285714,0.5416666666666666,0.32653061224489793,0.5147058823529411,1.0,0.029411764705882353,15,0,33,1,1.0,0.0,0.6666666666666666,10.0,0.8901960784313726,0.85,1.0
