fold,best_epoch,best_score,proxy_selection_score,source_task1_auc_init,source_task1_retention_floor,source_task1_retention_pass,source_task1_sanity_floor,source_task1_sanity_pass,checkpoint_selected_from_proxy_fallback,val_cows,val_n,val_auc,val_f1,val_f1_opt,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_cow_auc,val_cow_f1,val_cow_f1_opt,temperature,val_calibrated_auc,val_calibrated_f1_opt,val_calibrated_cow_auc,source_task1_auc,source_task1_f1,source_task1_f1_opt,source_task1_balanced_accuracy,source_task1_precision,source_task1_recall,source_task1_best_threshold,source_task2_accuracy
0,10,0.9484959647835656,0.9484959647835656,0.5882352941176471,0.558235294117647,True,0.7,False,False,"354,402,415,428",76,0.933969185619956,0.19230769230769232,0.8791208791208791,0.4473684210526316,0.5531914893617021,1.0,0.10638297872340426,1.0,0.0,1.0,1.4395208358764648,0.933969185619956,0.7642276422764228,1.0,0.5882352941176471,0.6923076923076923,0.7719298245614035,0.5952941176470588,0.6666666666666666,0.72,0.39999999999999997,0.4523809523809524
1,2,0.4950721153846154,0.4950721153846154,0.5882352941176471,0.558235294117647,True,0.7,False,False,"323,387,425,432",42,0.4591346153846154,0.0,0.5517241379310345,0.6190476190476191,0.5,0.0,0.0,0.5,0.0,0.6666666666666666,0.8226299285888672,0.4591346153846154,0.5517241379310345,0.5,0.5811764705882353,0.7636363636363637,0.7857142857142857,0.6552941176470588,0.7,0.84,0.44999999999999996,0.4523809523809524
2,0,0.43402173913043474,0.43402173913043474,0.5882352941176471,0.558235294117647,True,0.7,False,False,"394,406,426,438",43,0.29782608695652174,0.37037037037037035,0.6349206349206349,0.6046511627906976,0.5815217391304348,0.7142857142857143,0.25,0.5,0.0,0.6666666666666666,1.5292693376541138,0.29782608695652174,0.6349206349206349,0.5,0.5811764705882353,0.7857142857142857,0.7857142857142857,0.6752941176470588,0.7096774193548387,0.88,0.44999999999999996,0.4523809523809524
3,50,0.8179976851851852,0.8179976851851852,0.5882352941176471,0.558235294117647,True,0.7,False,False,"310,405,421,439",70,0.7303240740740741,0.5333333333333333,0.8709677419354839,0.5,0.6539351851851851,0.9523809523809523,0.37037037037037035,1.0,0.6666666666666666,0.8,10.0,0.7303240740740741,0.8709677419354839,1.0,0.6188235294117648,0.7169811320754716,0.7857142857142857,0.6152941176470588,0.6785714285714286,0.76,0.35,0.4523809523809524
4,1,0.8320588235294117,0.8320588235294117,0.5882352941176471,0.558235294117647,True,0.7,False,False,"255,352,355,446",49,0.7313725490196078,0.6666666666666666,0.8192771084337349,0.6530612244897959,0.75,1.0,0.5,1.0,0.6666666666666666,1.0,0.6459786891937256,0.7313725490196078,0.8192771084337349,1.0,0.5788235294117647,0.7857142857142857,0.7857142857142857,0.6752941176470588,0.7096774193548387,0.88,0.44999999999999996,0.4523809523809524
