fold,best_epoch,best_score,val_cows,val_n,val_auc,val_f1,val_f1_opt,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_tn,val_fp,val_fn,val_tp,val_cow_auc,val_cow_f1,val_cow_f1_opt,temperature,val_calibrated_auc,val_calibrated_f1_opt,val_calibrated_cow_auc
0,4,0.8304750550256785,"354,402,415,428",76,0.879677182685253,0.041666666666666664,0.2909090909090909,0.39473684210526316,0.5106382978723404,1.0,0.02127659574468085,29,0,46,1,0.75,0.0,0.6666666666666666,10.0,0.879677182685253,0.8865979381443299,0.75
1,19,0.3311298076923077,"323,387,425,432",42,0.12259615384615384,0.0,0.0,0.6190476190476191,0.5,0.0,0.0,26,0,16,0,0.5,0.0,0.0,10.0,0.12259615384615384,0.5517241379310345,0.5
2,1,0.8913043478260869,"394,406,426,438",43,0.8347826086956521,0.0,0.6349206349206349,0.5348837209302325,0.5,0.0,0.0,23,0,20,0,1.0,0.0,0.6666666666666666,10.0,0.8347826086956521,0.6349206349206349,1.0
3,0,0.8027777777777778,"310,405,421,439",70,0.6990740740740741,0.03636363636363636,0.8709677419354839,0.24285714285714285,0.5092592592592593,1.0,0.018518518518518517,16,0,53,1,1.0,0.0,1.0,10.0,0.6990740740740741,0.8709677419354839,1.0
4,37,0.8499999999999999,"255,352,355,446",49,0.7686274509803921,0.0,0.05714285714285714,0.30612244897959184,0.5,0.0,0.0,15,0,34,0,1.0,0.0,0.0,10.0,0.7686274509803921,0.8192771084337349,1.0
