fold,best_epoch,best_score,val_cows,val_n,val_auc,val_f1,val_f1_opt,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_tn,val_fp,val_fn,val_tp,val_cow_auc,val_cow_f1,val_cow_f1_opt
0,0,0.7296296296296296,"374,402,432,433",37,0.7296296296296296,0.0,0.425531914893617,0.7297297297297297,0.5,0.0,0.0,27,0,10,0,1.0,0.0,0.4
1,0,0.5029239766081872,"310,378,417,427",37,0.5029239766081872,0.18181818181818182,0.6785714285714286,0.5135135135135135,0.5248538011695907,0.6666666666666666,0.10526315789473684,17,1,17,2,0.5,0.0,0.6666666666666666
2,0,0.4647058823529412,"370,394,415,436",37,0.4647058823529412,0.4,0.6296296296296297,0.5945945945945946,0.5720588235294117,0.625,0.29411764705882354,17,3,12,5,0.5,0.5,0.6666666666666666
3,0,0.5208333333333333,"323,349,352,439",20,0.5208333333333333,0.42105263157894735,0.75,0.45,0.47916666666666663,0.5714285714285714,0.3333333333333333,5,3,8,4,0.5,0.6666666666666666,0.6666666666666666
4,4,0.816326530612245,"354,405,421,428",28,0.816326530612245,0.6,0.8636363636363636,0.5714285714285714,0.7142857142857143,1.0,0.42857142857142855,7,0,12,9,1.0,1.0,1.0
5,8,0.4541666666666667,"406,425,426,438",32,0.4541666666666667,0.17391304347826086,0.7692307692307693,0.40625,0.5083333333333333,0.6666666666666666,0.1,11,1,18,2,0.5,0.0,0.6666666666666666
6,4,0.7333333333333334,"255,355,387,446",30,0.7333333333333334,0.4,0.6976744186046512,0.6,0.6,0.8,0.26666666666666666,14,1,11,4,1.0,0.6666666666666666,1.0
