fold,best_epoch,best_score,proxy_selection_score,source_task1_auc_init,source_task1_retention_floor,source_task1_retention_pass,source_task1_sanity_floor,source_task1_sanity_pass,checkpoint_selected_from_proxy_fallback,val_cows,val_n,val_auc,val_f1,val_f1_opt,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_cow_auc,val_cow_f1,val_cow_f1_opt,temperature,val_calibrated_auc,val_calibrated_f1_opt,val_calibrated_cow_auc,source_task1_auc,source_task1_f1,source_task1_f1_opt,source_task1_balanced_accuracy,source_task1_precision,source_task1_recall,source_task1_best_threshold,source_task2_accuracy
0,26,0.9046296296296296,0.9046296296296296,0.571764705882353,0.55,True,0.7,False,False,"374,402,432,433",37,0.8629629629629629,0.18181818181818182,0.6086956521739131,0.7567567567567568,0.55,1.0,0.1,1.0,0.0,1.0,0.3053496181964874,0.8629629629629629,0.625,1.0,0.6000000000000001,0.6923076923076923,0.7857142857142857,0.5952941176470588,0.6666666666666666,0.72,0.39999999999999997,0.40476190476190477
1,77,0.7830409356725146,0.7830409356725146,0.571764705882353,0.55,True,0.7,False,False,"310,378,417,427",37,0.6491228070175439,0.2608695652173913,0.7058823529411765,0.5405405405405406,0.5511695906432749,0.75,0.15789473684210525,1.0,0.0,0.8,1.5376551151275635,0.6491228070175439,0.7058823529411765,1.0,0.6164705882352941,0.7058823529411765,0.7857142857142857,0.6247058823529412,0.6923076923076923,0.72,0.39999999999999997,0.40476190476190477
2,17,0.49117647058823527,0.49117647058823527,0.571764705882353,0.55,True,0.7,False,False,"370,394,415,436",37,0.43529411764705883,0.18181818181818182,0.6296296296296297,0.5135135135135135,0.4838235294117647,0.4,0.11764705882352941,0.5,0.6666666666666666,0.6666666666666666,8.995516777038574,0.43529411764705883,0.6296296296296297,0.5,0.6164705882352941,0.7636363636363637,0.7857142857142857,0.6552941176470588,0.7,0.84,0.44999999999999996,0.40476190476190477
3,45,0.4979166666666667,0.4979166666666667,0.571764705882353,0.55,True,0.7,False,False,"323,349,352,439",20,0.4583333333333333,0.25,0.75,0.4,0.4583333333333333,0.5,0.16666666666666666,0.5,0.6666666666666666,0.6666666666666666,10.0,0.4583333333333333,0.75,0.5,0.6188235294117647,0.7407407407407407,0.7857142857142857,0.6352941176470588,0.6896551724137931,0.8,0.39999999999999997,0.40476190476190477
4,0,0.882312925170068,0.882312925170068,0.571764705882353,0.55,True,0.7,False,False,"354,405,421,428",28,0.8231292517006803,0.8372093023255814,0.8571428571428571,0.75,0.6428571428571428,0.8181818181818182,0.8571428571428571,1.0,0.8,1.0,0.21842004358768463,0.8231292517006803,0.8888888888888888,1.0,0.5976470588235294,0.7719298245614035,0.7857142857142857,0.6458823529411765,0.6875,0.88,0.6,0.40476190476190477
5,75,0.5810416666666667,0.5810416666666667,0.571764705882353,0.55,True,0.7,False,False,"406,425,426,438",32,0.4375,0.09523809523809523,0.7692307692307693,0.40625,0.525,1.0,0.05,0.75,0.0,0.6666666666666666,10.0,0.4375,0.7692307692307693,0.75,0.6235294117647059,0.625,0.7857142857142857,0.5647058823529412,0.6521739130434783,0.6,0.35,0.40476190476190477
6,1,0.896,0.896,0.571764705882353,0.55,True,0.7,False,False,"255,355,387,446",30,0.8577777777777778,0.7317073170731707,0.8,0.6333333333333333,0.6333333333333333,0.5769230769230769,1.0,1.0,0.6666666666666666,1.0,0.6455519199371338,0.8577777777777778,0.7741935483870968,1.0,0.5882352941176471,0.7719298245614035,0.7857142857142857,0.6458823529411765,0.6875,0.88,0.5499999999999999,0.40476190476190477
