fold,best_epoch,best_score,val_cows,val_n,val_auc,val_f1,val_f1_opt,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_tn,val_fp,val_fn,val_tp,val_cow_auc,val_cow_f1,val_cow_f1_opt,temperature,val_calibrated_auc,val_calibrated_f1_opt,val_calibrated_cow_auc
0,0,0.905925925925926,"374,402,432,433",37,0.8740740740740741,0.0,0.5714285714285714,0.7297297297297297,0.5,0.0,0.0,27,0,10,0,1.0,0.0,1.0,0.19860604405403137,0.8740740740740741,0.6666666666666666,1.0
1,6,0.49941520467836253,"310,378,417,427",37,0.4532163742690058,0.4444444444444444,0.6785714285714286,0.5945945945945946,0.6023391812865497,0.75,0.3157894736842105,16,2,13,6,0.5,0.0,0.6666666666666666,10.0,0.4532163742690058,0.6785714285714286,0.5
2,0,0.6302941176470589,"370,394,415,436",37,0.55,0.19047619047619047,0.6296296296296297,0.5405405405405406,0.5088235294117647,0.5,0.11764705882352941,18,2,15,2,0.75,0.0,0.6666666666666666,1.6492170095443726,0.55,0.6296296296296297,0.75
3,2,0.5942708333333334,"323,349,352,439",20,0.6354166666666667,0.2857142857142857,0.75,0.5,0.5833333333333334,1.0,0.16666666666666666,8,0,10,2,0.5,0.6666666666666666,0.6666666666666666,2.669490098953247,0.6354166666666667,0.75,0.5
4,2,0.9258503401360545,"354,405,421,428",28,0.8775510204081632,0.8260869565217391,0.8571428571428571,0.7142857142857143,0.5238095238095238,0.76,0.9047619047619048,1,6,2,19,1.0,0.6666666666666666,0.6666666666666666,0.05000000074505806,0.8775510204081632,0.8780487804878049,1.0
5,22,0.7622916666666667,"406,425,426,438",32,0.6125,0.17391304347826086,0.7692307692307693,0.40625,0.5083333333333333,0.6666666666666666,0.1,11,1,18,2,1.0,0.0,0.6666666666666666,10.0,0.6125,0.7692307692307693,1.0
6,0,0.9226666666666667,"255,355,387,446",30,0.9022222222222223,0.3333333333333333,0.72,0.6,0.6,1.0,0.2,15,0,12,3,1.0,0.6666666666666666,1.0,0.31388843059539795,0.9022222222222223,0.8235294117647058,1.0
