fold,best_epoch,best_score,proxy_selection_score,source_task1_sanity_floor,source_task1_sanity_pass,checkpoint_selected_from_proxy_fallback,val_cows,val_n,val_auc,val_f1,val_f1_opt,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_cow_auc,val_cow_f1,val_cow_f1_opt,temperature,val_calibrated_auc,val_calibrated_f1_opt,val_calibrated_cow_auc,source_task1_auc,source_task1_f1,source_task1_f1_opt,source_task1_balanced_accuracy,source_task1_precision,source_task1_recall,source_task1_best_threshold,source_task2_accuracy
0,1,-inf,0.9,0.7,False,True,"374,402,432,433",37,0.9,0.6363636363636364,0.6666666666666666,0.7837837837837838,0.7574074074074073,0.5833333333333334,0.7,1.0,0.6666666666666666,1.0,0.13662025332450867,0.9,0.6923076923076923,1.0,0.5858823529411765,0.7636363636363637,0.7636363636363637,0.6552941176470588,0.7,0.84,0.49999999999999994,0.40476190476190477
1,17,-inf,0.6023391812865497,0.7,False,True,"310,378,417,427",37,0.6023391812865497,0.1,0.6785714285714286,0.5135135135135135,0.5263157894736842,1.0,0.05263157894736842,0.75,0.0,0.6666666666666666,4.0853705406188965,0.6023391812865497,0.6785714285714286,0.75,0.6258823529411764,0.7547169811320755,0.7857142857142857,0.6647058823529413,0.7142857142857143,0.8,0.39999999999999997,0.40476190476190477
2,13,-inf,0.45882352941176474,0.7,False,True,"370,394,415,436",37,0.45882352941176474,0.18181818181818182,0.6296296296296297,0.5135135135135135,0.4838235294117647,0.4,0.11764705882352941,0.5,0.6666666666666666,0.6666666666666666,7.050091743469238,0.45882352941176474,0.6296296296296297,0.5,0.6235294117647059,0.7777777777777778,0.7857142857142857,0.6847058823529412,0.7241379310344828,0.84,0.44999999999999996,0.40476190476190477
3,0,-inf,0.4583333333333333,0.7,False,True,"323,349,352,439",20,0.4583333333333333,0.56,0.75,0.45,0.4166666666666667,0.5384615384615384,0.5833333333333334,0.5,0.6666666666666666,0.6666666666666666,4.418477535247803,0.4583333333333333,0.75,0.5,0.5976470588235294,0.7719298245614035,0.7857142857142857,0.6458823529411765,0.6875,0.88,0.5499999999999999,0.40476190476190477
4,0,-inf,0.7755102040816326,0.7,False,True,"354,405,421,428",28,0.7755102040816326,0.8372093023255814,0.875,0.75,0.6428571428571428,0.8181818181818182,0.8571428571428571,1.0,0.8,1.0,0.2696729302406311,0.7755102040816326,0.8888888888888888,1.0,0.5952941176470589,0.7719298245614035,0.7857142857142857,0.6458823529411765,0.6875,0.88,0.5499999999999999,0.40476190476190477
5,1,-inf,0.38333333333333336,0.7,False,True,"406,425,426,438",32,0.38333333333333336,0.3870967741935484,0.7692307692307693,0.40625,0.44166666666666665,0.5454545454545454,0.3,0.5,0.5,0.6666666666666666,10.0,0.38333333333333336,0.7692307692307693,0.5,0.5882352941176471,0.7857142857142857,0.7857142857142857,0.6752941176470588,0.7096774193548387,0.88,0.49999999999999994,0.40476190476190477
6,1,-inf,0.8622222222222222,0.7,False,True,"255,355,387,446",30,0.8622222222222222,0.7317073170731707,0.7692307692307693,0.6333333333333333,0.6333333333333333,0.5769230769230769,1.0,1.0,0.6666666666666666,1.0,0.8625203371047974,0.8622222222222222,0.8387096774193549,1.0,0.583529411764706,0.7719298245614035,0.7719298245614035,0.6458823529411765,0.6875,0.88,0.49999999999999994,0.40476190476190477
