fold,best_epoch,best_score,val_cows,val_n,val_auc,val_f1,val_f1_opt,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_tn,val_fp,val_fn,val_tp,val_cow_auc,val_cow_f1,val_cow_f1_opt,temperature,val_calibrated_auc,val_calibrated_f1_opt,val_calibrated_cow_auc
0,41,1.0,"352,438,439",21,1.0,0.8695652173913043,1.0,0.8571428571428571,0.8636363636363636,0.7692307692307693,1.0,8,3,0,10,1.0,1.0,1.0,0.15788044035434723,1.0,1.0,1.0
1,11,0.9261666666666666,"255,406,417",61,0.8988888888888888,0.631578947368421,0.8,0.7704918032786885,0.7261111111111112,0.9230769230769231,0.48,35,1,13,12,1.0,0.0,1.0,0.29223453998565674,0.8988888888888888,0.8333333333333334,1.0
2,2,0.9511637931034482,"428,433,436",69,0.9387931034482758,0.0,0.8620689655172413,0.5797101449275363,0.5,0.0,0.0,40,0,29,0,1.0,0.0,1.0,0.591133713722229,0.9387931034482758,0.8235294117647058,1.0
3,1,0.69875,"355,405,427",32,0.5083333333333333,0.0,0.5853658536585366,0.625,0.5,0.0,0.0,20,0,12,0,1.0,0.0,0.5,0.5410633683204651,0.5083333333333333,0.5454545454545454,1.0
4,0,0.845,"378,394,432",57,0.7595744680851064,0.15384615384615385,0.34782608695652173,0.8070175438596491,0.5287234042553192,0.3333333333333333,0.1,45,2,9,1,1.0,0.0,1.0,0.14374618232250214,0.7595744680851064,0.42105263157894735,1.0
5,45,0.8271008403361345,"310,323,426",48,0.7352941176470589,0.05714285714285714,0.8395061728395061,0.3125,0.5147058823529411,1.0,0.029411764705882353,14,0,33,1,1.0,0.0,1.0,10.0,0.7352941176470589,0.8292682926829268,1.0
6,7,0.9885778275475924,"354,402,415",66,0.9888017917133258,0.9069767441860465,0.9574468085106383,0.8787878787878788,0.9148936170212766,1.0,0.8297872340425532,19,0,8,39,1.0,1.0,1.0,0.1091303676366806,0.9888017917133258,0.967741935483871,1.0
7,59,0.9980555555555556,"349,387,425",102,0.9981481481481482,0.9887640449438202,0.994413407821229,0.9803921568627451,0.9888888888888889,1.0,0.9777777777777777,12,0,2,88,1.0,0.6666666666666666,1.0,0.24736388027668,0.9981481481481482,0.994413407821229,1.0
8,2,0.7136904761904762,"370,421,446",66,0.5317460317460317,0.37735849056603776,0.7777777777777778,0.5,0.5982142857142857,0.9090909090909091,0.23809523809523808,23,1,32,10,1.0,0.0,0.8,10.0,0.5317460317460317,0.7777777777777778,1.0
