fold,best_epoch,best_score,proxy_selection_score,source_task1_auc_init,source_task1_retention_floor,source_task1_retention_pass,source_task1_sanity_floor,source_task1_sanity_pass,checkpoint_selected_from_proxy_fallback,val_cows,val_n,val_auc,val_f1,val_f1_opt,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_cow_auc,val_cow_f1,val_cow_f1_opt,temperature,val_calibrated_auc,val_calibrated_f1_opt,val_calibrated_cow_auc,source_task1_auc,source_task1_f1,source_task1_f1_opt,source_task1_balanced_accuracy,source_task1_precision,source_task1_recall,source_task1_best_threshold,source_task2_accuracy
0,35,0.8313636363636364,0.8313636363636364,0.571764705882353,0.55,True,0.7,False,False,"352,438,439",21,0.7363636363636363,0.6666666666666666,0.6666666666666666,0.7619047619047619,0.75,1.0,0.5,1.0,0.0,1.0,0.778620183467865,0.7363636363636363,0.6666666666666666,1.0,0.6282352941176471,0.7307692307692307,0.7857142857142857,0.6447058823529412,0.7037037037037037,0.76,0.35,0.40476190476190477
1,1,0.861,0.861,0.571764705882353,0.55,True,0.7,False,False,"255,406,417",61,0.7533333333333332,0.8372093023255814,0.8372093023255814,0.8852459016393442,0.86,1.0,0.72,1.0,1.0,1.0,0.15462274849414825,0.7533333333333332,0.8372093023255814,1.0,0.5905882352941176,0.7857142857142857,0.7857142857142857,0.6752941176470588,0.7096774193548387,0.88,0.49999999999999994,0.40476190476190477
2,3,0.9648706896551724,0.9648706896551724,0.571764705882353,0.55,True,0.7,False,False,"428,433,436",69,0.9560344827586207,0.8301886792452831,0.8301886792452831,0.8695652173913043,0.8543103448275862,0.9166666666666666,0.7586206896551724,1.0,1.0,1.0,0.05000000074505806,0.9560344827586207,0.9122807017543859,1.0,0.5905882352941176,0.7407407407407407,0.7719298245614035,0.6352941176470588,0.6896551724137931,0.8,0.44999999999999996,0.40476190476190477
3,11,0.4708333333333333,0.4708333333333333,0.571764705882353,0.55,True,0.7,False,False,"355,405,427",32,0.41666666666666663,0.0,0.5454545454545454,0.625,0.5,0.0,0.0,0.5,0.0,0.5,0.785683274269104,0.41666666666666663,0.5454545454545454,0.5,0.6094117647058823,0.7407407407407407,0.7857142857142857,0.6352941176470588,0.6896551724137931,0.8,0.44999999999999996,0.40476190476190477
4,14,0.45499999999999996,0.45499999999999996,0.571764705882353,0.55,True,0.7,False,False,"378,394,432",57,0.4,0.0,0.29850746268656714,0.8245614035087719,0.5,0.0,0.0,0.5,0.0,0.5,0.31949812173843384,0.4,0.30303030303030304,0.5,0.6070588235294119,0.7636363636363637,0.7857142857142857,0.6552941176470588,0.7,0.84,0.44999999999999996,0.40476190476190477
5,47,0.5956932773109244,0.5956932773109244,0.571764705882353,0.55,True,0.7,False,False,"310,323,426",48,0.6071428571428571,0.05714285714285714,0.8292682926829268,0.3125,0.5147058823529411,1.0,0.029411764705882353,0.5,0.0,0.8,10.0,0.6071428571428571,0.8292682926829268,0.5,0.6188235294117647,0.68,0.7719298245614035,0.6047058823529412,0.68,0.68,0.35,0.40476190476190477
6,0,0.9791713325867861,0.9791713325867861,0.571764705882353,0.55,True,0.7,False,False,"354,402,415",66,0.9843225083986562,0.94,0.9690721649484536,0.9090909090909091,0.8421052631578947,0.8867924528301887,1.0,1.0,1.0,1.0,0.1542140543460846,0.9843225083986562,0.9690721649484536,1.0,0.5882352941176471,0.7719298245614035,0.7857142857142857,0.6458823529411765,0.6875,0.88,0.5499999999999999,0.40476190476190477
7,1,0.9831944444444444,0.9831944444444444,0.571764705882353,0.55,True,0.7,False,False,"349,387,425",102,0.975,0.9595375722543352,0.9595375722543352,0.9313725490196079,0.9611111111111111,1.0,0.9222222222222223,1.0,0.6666666666666666,0.8,0.07797380536794662,0.975,0.9714285714285714,1.0,0.5952941176470589,0.7719298245614035,0.7857142857142857,0.6458823529411765,0.6875,0.88,0.5499999999999999,0.40476190476190477
8,29,0.7714285714285714,0.7714285714285714,0.571764705882353,0.55,True,0.7,False,False,"370,421,446",66,0.6309523809523809,0.3137254901960784,0.8,0.4696969696969697,0.5744047619047619,0.8888888888888888,0.19047619047619047,1.0,0.0,0.8,10.0,0.6309523809523809,0.7777777777777778,1.0,0.6164705882352941,0.7058823529411765,0.7857142857142857,0.6247058823529412,0.6923076923076923,0.72,0.39999999999999997,0.40476190476190477
