fold,best_epoch,best_score,val_cows,val_n,val_auc,val_f1,val_f1_opt,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_tn,val_fp,val_fn,val_tp,val_cow_auc,val_cow_f1,val_cow_f1_opt,temperature,val_calibrated_auc,val_calibrated_f1_opt,val_calibrated_cow_auc
0,6,0.9359134262655907,"354,402,415,428",76,0.905355832721937,0.0,0.8275862068965517,0.3815789473684211,0.5,0.0,0.0,29,0,47,0,1.0,0.0,0.6666666666666666,10.0,0.905355832721937,0.7642276422764228,1.0
1,0,0.42295673076923074,"323,387,425,432",42,0.31490384615384615,0.0,0.5517241379310345,0.6190476190476191,0.5,0.0,0.0,26,0,16,0,0.5,0.0,0.6666666666666666,1.000016689300537,0.31490384615384615,0.5517241379310345,0.5
2,11,0.8498913043478261,"394,406,426,438",43,0.7717391304347826,0.0,0.6349206349206349,0.5348837209302325,0.5,0.0,0.0,23,0,20,0,1.0,0.0,0.6666666666666666,6.224276542663574,0.7717391304347826,0.6349206349206349,1.0
3,4,0.8161458333333333,"310,405,421,439",70,0.7164351851851851,0.10526315789473684,0.8709677419354839,0.2714285714285714,0.5277777777777778,1.0,0.05555555555555555,16,0,51,3,1.0,0.0,1.0,10.0,0.7164351851851851,0.8709677419354839,1.0
4,0,0.8223529411764706,"255,352,355,446",49,0.7098039215686274,0.38095238095238093,0.8192771084337349,0.46938775510204084,0.6176470588235294,1.0,0.23529411764705882,15,0,26,8,1.0,0.0,0.8,10.0,0.7098039215686274,0.8192771084337349,1.0
