fold,best_epoch,best_score,proxy_selection_score,source_task1_auc_init,source_task1_retention_floor,source_task1_retention_pass,source_task1_sanity_floor,source_task1_sanity_pass,checkpoint_selected_from_proxy_fallback,val_cows,val_n,val_auc,val_f1,val_f1_opt,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_cow_auc,val_cow_f1,val_cow_f1_opt,temperature,val_calibrated_auc,val_calibrated_f1_opt,val_calibrated_cow_auc,source_task1_auc,source_task1_f1,source_task1_f1_opt,source_task1_balanced_accuracy,source_task1_precision,source_task1_recall,source_task1_best_threshold,source_task2_accuracy
0,29,0.9495964783565665,0.9495964783565665,0.5882352941176471,0.558235294117647,True,0.7,False,False,"354,402,415,428",76,0.9310344827586208,0.12,0.8545454545454545,0.42105263157894735,0.5319148936170213,1.0,0.06382978723404255,1.0,0.0,0.8,10.0,0.9310344827586208,0.7642276422764228,1.0,0.5929411764705883,0.7636363636363637,0.7857142857142857,0.6552941176470588,0.7,0.84,0.39999999999999997,0.4523809523809524
1,2,0.49182692307692305,0.49182692307692305,0.5882352941176471,0.558235294117647,True,0.7,False,False,"323,387,425,432",42,0.451923076923077,0.0,0.5517241379310345,0.6190476190476191,0.5,0.0,0.0,0.5,0.0,0.6666666666666666,0.8181246519088745,0.451923076923077,0.5517241379310345,0.5,0.5811764705882353,0.7636363636363637,0.7857142857142857,0.6552941176470588,0.7,0.84,0.44999999999999996,0.4523809523809524
2,0,0.43402173913043474,0.43402173913043474,0.5882352941176471,0.558235294117647,True,0.7,False,False,"394,406,426,438",43,0.29782608695652174,0.38461538461538464,0.6349206349206349,0.627906976744186,0.6032608695652174,0.8333333333333334,0.25,0.5,0.0,0.6666666666666666,1.4987058639526367,0.29782608695652174,0.6349206349206349,0.5,0.5811764705882353,0.7857142857142857,0.7857142857142857,0.6752941176470588,0.7096774193548387,0.88,0.44999999999999996,0.4523809523809524
3,50,0.7875578703703703,0.7875578703703703,0.5882352941176471,0.558235294117647,True,0.7,False,False,"310,405,421,439",70,0.681712962962963,0.4931506849315068,0.8760330578512396,0.4714285714285714,0.6354166666666666,0.9473684210526315,0.3333333333333333,1.0,0.6666666666666666,0.8,10.0,0.681712962962963,0.8709677419354839,1.0,0.611764705882353,0.7636363636363637,0.7857142857142857,0.6552941176470588,0.7,0.84,0.39999999999999997,0.4523809523809524
4,0,0.8341176470588235,0.8341176470588235,0.5882352941176471,0.558235294117647,True,0.7,False,False,"255,352,355,446",49,0.7294117647058823,0.6666666666666666,0.8192771084337349,0.6530612244897959,0.75,1.0,0.5,1.0,0.6666666666666666,1.0,0.6069183945655823,0.7294117647058823,0.8192771084337349,1.0,0.5811764705882353,0.7857142857142857,0.7857142857142857,0.6752941176470588,0.7096774193548387,0.88,0.44999999999999996,0.4523809523809524
