fold,best_epoch,best_score,val_cows,val_n,val_auc,val_f1,val_f1_opt,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_tn,val_fp,val_fn,val_tp,val_cow_auc,val_cow_f1,val_cow_f1_opt,temperature,val_calibrated_auc,val_calibrated_f1_opt,val_calibrated_cow_auc
0,6,0.93492296404989,"354,402,415,428",76,0.9031548055759354,0.0,0.7642276422764228,0.3815789473684211,0.5,0.0,0.0,29,0,47,0,1.0,0.0,0.6666666666666666,10.0,0.9031548055759354,0.7642276422764228,1.0
1,0,0.421875,"323,387,425,432",42,0.3125,0.0,0.5517241379310345,0.6190476190476191,0.5,0.0,0.0,26,0,16,0,0.5,0.0,0.6666666666666666,1.0000417232513428,0.3125,0.5517241379310345,0.5
2,12,0.9161956521739131,"394,406,426,438",43,0.8804347826086957,0.0,0.6349206349206349,0.5348837209302325,0.5,0.0,0.0,23,0,20,0,1.0,0.0,0.6666666666666666,7.865793228149414,0.8804347826086957,0.6349206349206349,1.0
3,4,0.8166666666666667,"310,405,421,439",70,0.7175925925925926,0.13793103448275862,0.8709677419354839,0.2857142857142857,0.537037037037037,1.0,0.07407407407407407,16,0,50,4,1.0,0.0,1.0,10.0,0.7175925925925926,0.8709677419354839,1.0
4,0,0.8223529411764706,"255,352,355,446",49,0.7098039215686274,0.38095238095238093,0.8192771084337349,0.46938775510204084,0.6176470588235294,1.0,0.23529411764705882,15,0,26,8,1.0,0.0,0.8,10.0,0.7098039215686274,0.8192771084337349,1.0
