fold,best_epoch,best_score,val_cows,val_n,val_auc,val_f1,val_f1_opt,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_tn,val_fp,val_fn,val_tp,val_cow_auc,val_cow_f1,val_cow_f1_opt,temperature,val_calibrated_auc,val_calibrated_f1_opt,val_calibrated_cow_auc
0,26,0.8731481481481481,"374,402,432,433",37,0.8037037037037038,0.625,0.6666666666666666,0.8378378378378378,0.7314814814814814,0.8333333333333334,0.5,26,1,5,5,1.0,0.0,1.0,0.7095537185668945,0.8037037037037038,0.6666666666666666,1.0
1,17,0.6119152046783625,"310,378,417,427",37,0.48538011695906425,0.5,0.6785714285714286,0.4594594594594595,0.45760233918128657,0.47619047619047616,0.5263157894736842,7,11,9,10,0.75,0.6666666666666666,0.6666666666666666,10.0,0.48538011695906425,0.6785714285714286,0.5
2,0,0.7120588235294117,"370,394,415,436",37,0.6676470588235294,0.19047619047619047,0.6296296296296297,0.5405405405405406,0.5088235294117647,0.5,0.11764705882352941,18,2,15,2,0.75,0.0,0.6666666666666666,1.7638559341430664,0.6676470588235294,0.6666666666666666,0.75
3,35,0.6432291666666666,"323,349,352,439",20,0.53125,0.5,0.75,0.5,0.5208333333333334,0.625,0.4166666666666667,5,3,7,5,0.75,0.6666666666666666,0.6666666666666666,10.0,0.53125,0.75,0.5
4,51,0.9115646258503401,"354,405,421,428",28,0.8775510204081632,0.7647058823529411,0.9130434782608695,0.7142857142857143,0.8095238095238095,1.0,0.6190476190476191,7,0,8,13,1.0,1.0,1.0,1.275461196899414,0.8775510204081632,0.9130434782608695,1.0
5,23,0.7914583333333333,"406,425,426,438",32,0.6625,0.38461538461538464,0.7692307692307693,0.5,0.5833333333333333,0.8333333333333334,0.25,11,1,15,5,1.0,0.0,1.0,10.0,0.6625,0.7692307692307693,1.0
6,19,0.9353333333333333,"255,355,387,446",30,0.9155555555555556,0.7777777777777778,0.8275862068965517,0.7333333333333333,0.7333333333333334,0.6666666666666666,0.9333333333333333,8,7,1,14,1.0,0.8,1.0,1.184077501296997,0.9155555555555556,0.8571428571428571,1.0
