fold,best_epoch,best_score,val_cows,val_n,val_auc,val_f1,val_f1_opt,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_tn,val_fp,val_fn,val_tp,val_cow_auc,val_cow_f1,val_cow_f1_opt,temperature,val_calibrated_auc,val_calibrated_f1_opt,val_calibrated_cow_auc
0,0,0.6592592592592592,"374,402,432,433",37,0.6592592592592592,0.0,0.425531914893617,0.7297297297297297,0.5,0.0,0.0,27,0,10,0,1.0,0.0,0.4,0.24746617674827576,0.6592592592592592,0.46153846153846156,1.0
1,0,0.4619883040935672,"310,378,417,427",37,0.4619883040935672,0.2962962962962963,0.6785714285714286,0.4864864864864865,0.49415204678362573,0.5,0.21052631578947367,14,4,15,4,0.25,0.0,0.6666666666666666,10.0,0.4619883040935672,0.6785714285714286,0.25
2,8,0.39999999999999997,"370,394,415,436",37,0.39999999999999997,0.3225806451612903,0.6296296296296297,0.43243243243243246,0.4220588235294118,0.35714285714285715,0.29411764705882354,11,9,12,5,0.5,0.5,0.6666666666666666,10.0,0.39999999999999997,0.6296296296296297,0.5
3,8,0.42708333333333337,"323,349,352,439",20,0.42708333333333337,0.5,0.75,0.5,0.5208333333333334,0.625,0.4166666666666667,5,3,7,5,0.5,0.5,0.6666666666666666,5.8023362159729,0.42708333333333337,0.75,0.5
4,6,0.8571428571428571,"354,405,421,428",28,0.8571428571428571,0.8947368421052632,0.8947368421052632,0.8571428571428571,0.9047619047619048,1.0,0.8095238095238095,7,0,4,17,1.0,1.0,1.0,0.19236984848976135,0.8571428571428571,0.9,1.0
5,5,0.575,"406,425,426,438",32,0.575,0.17391304347826086,0.7692307692307693,0.40625,0.5083333333333333,0.6666666666666666,0.1,11,1,18,2,0.5,0.0,0.6666666666666666,10.0,0.575,0.7692307692307693,0.5
6,0,0.92,"255,355,387,446",30,0.92,0.7692307692307693,0.8823529411764706,0.7,0.7,0.625,1.0,6,9,0,15,1.0,0.8,1.0,0.43544694781303406,0.92,0.8823529411764706,1.0
