fold,best_epoch,best_score,proxy_selection_score,source_task1_auc_init,source_task1_retention_floor,source_task1_retention_pass,source_task1_sanity_floor,source_task1_sanity_pass,checkpoint_selected_from_proxy_fallback,val_cows,val_n,val_auc,val_f1,val_f1_opt,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_cow_auc,val_cow_f1,val_cow_f1_opt,temperature,val_calibrated_auc,val_calibrated_f1_opt,val_calibrated_cow_auc,source_task1_auc,source_task1_f1,source_task1_f1_opt,source_task1_balanced_accuracy,source_task1_precision,source_task1_recall,source_task1_best_threshold,source_task2_accuracy
0,2,0.9009259259259259,0.9009259259259259,0.571764705882353,0.55,True,0.7,False,False,"374,402,432,433",37,0.8703703703703702,0.6,0.6,0.7837837837837838,0.7259259259259259,0.6,0.6,1.0,1.0,1.0,0.1222962886095047,0.8703703703703702,0.6451612903225806,1.0,0.5905882352941176,0.7857142857142857,0.7857142857142857,0.6752941176470588,0.7096774193548387,0.88,0.49999999999999994,0.40476190476190477
1,78,0.7590643274853801,0.7590643274853801,0.571764705882353,0.55,True,0.7,False,False,"310,378,417,427",37,0.6198830409356725,0.2608695652173913,0.7058823529411765,0.5405405405405406,0.5511695906432749,0.75,0.15789473684210525,1.0,0.0,0.6666666666666666,2.5293004512786865,0.6198830409356725,0.6785714285714286,1.0,0.6235294117647059,0.68,0.7857142857142857,0.6047058823529412,0.68,0.68,0.39999999999999997,0.40476190476190477
2,15,0.5004411764705883,0.5004411764705883,0.571764705882353,0.55,True,0.7,False,False,"370,394,415,436",37,0.4558823529411765,0.19047619047619047,0.6296296296296297,0.5405405405405406,0.5088235294117647,0.5,0.11764705882352941,0.5,0.0,0.6666666666666666,5.762319087982178,0.4558823529411765,0.6296296296296297,0.5,0.6141176470588235,0.7169811320754716,0.7719298245614035,0.6152941176470588,0.6785714285714286,0.76,0.39999999999999997,0.40476190476190477
3,61,0.5026041666666666,0.5026041666666666,0.571764705882353,0.55,True,0.7,False,False,"323,349,352,439",20,0.46874999999999994,0.26666666666666666,0.75,0.45,0.5208333333333334,0.6666666666666666,0.16666666666666666,0.5,0.6666666666666666,0.6666666666666666,10.0,0.46874999999999994,0.75,0.5,0.6141176470588235,0.7169811320754716,0.7857142857142857,0.6152941176470588,0.6785714285714286,0.76,0.39999999999999997,0.40476190476190477
4,0,0.8761904761904762,0.8761904761904762,0.571764705882353,0.55,True,0.7,False,False,"354,405,421,428",28,0.8095238095238095,0.8372093023255814,0.8571428571428571,0.75,0.6428571428571428,0.8181818181818182,0.8571428571428571,1.0,0.8,1.0,0.2309778481721878,0.8095238095238095,0.8888888888888888,1.0,0.5976470588235294,0.7719298245614035,0.7857142857142857,0.6458823529411765,0.6875,0.88,0.6,0.40476190476190477
5,17,0.546875,0.546875,0.571764705882353,0.55,True,0.7,False,False,"406,425,426,438",32,0.3875,0.18181818181818182,0.7692307692307693,0.4375,0.55,1.0,0.1,0.75,0.0,0.6666666666666666,10.0,0.3875,0.7692307692307693,0.75,0.6094117647058823,0.7169811320754716,0.7719298245614035,0.6152941176470588,0.6785714285714286,0.76,0.39999999999999997,0.40476190476190477
6,1,0.896,0.896,0.571764705882353,0.55,True,0.7,False,False,"255,355,387,446",30,0.8577777777777778,0.7142857142857143,0.8125,0.6,0.6,0.5555555555555556,1.0,1.0,0.6666666666666666,0.8,0.6819108724594116,0.8577777777777778,0.7741935483870968,1.0,0.5858823529411764,0.7719298245614035,0.7857142857142857,0.6458823529411765,0.6875,0.88,0.5499999999999999,0.40476190476190477
