fold,best_epoch,best_score,val_cows,val_n,val_auc,val_f1,val_f1_opt,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_tn,val_fp,val_fn,val_tp,val_cow_auc,val_cow_f1,val_cow_f1_opt,temperature,val_calibrated_auc,val_calibrated_f1_opt,val_calibrated_cow_auc
0,0,0.9415260454878943,"354,402,415,428",76,0.9148936170212766,0.041666666666666664,0.7642276422764228,0.39473684210526316,0.5106382978723404,1.0,0.02127659574468085,29,0,46,1,1.0,0.0,0.6666666666666666,10.0,0.9148936170212766,0.7642276422764228,1.0
1,19,0.6965144230769231,"323,387,425,432",42,0.6514423076923077,0.0,0.5517241379310345,0.6190476190476191,0.5,0.0,0.0,26,0,16,0,0.75,0.0,0.6666666666666666,1.1473242044448853,0.6514423076923077,0.5517241379310345,0.75
2,0,0.46043478260869564,"394,406,426,438",43,0.3565217391304348,0.09523809523809523,0.6349206349206349,0.5581395348837209,0.525,1.0,0.05,23,0,19,1,0.5,0.0,0.6666666666666666,2.359903335571289,0.3565217391304348,0.6349206349206349,0.5
3,0,0.8130787037037037,"310,405,421,439",70,0.7199074074074074,0.1694915254237288,0.8709677419354839,0.3,0.5462962962962963,1.0,0.09259259259259259,16,0,49,5,1.0,0.0,0.8,10.0,0.7199074074074074,0.8709677419354839,1.0
4,35,0.957843137254902,"255,352,355,446",49,0.9490196078431372,0.05714285714285714,0.8947368421052632,0.32653061224489793,0.5147058823529411,1.0,0.029411764705882353,15,0,33,1,1.0,0.0,1.0,10.0,0.9490196078431372,0.8192771084337349,1.0
