fold,best_epoch,best_score,val_cows,val_n,val_auc,val_f1,val_f1_opt,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_tn,val_fp,val_fn,val_tp,val_cow_auc,val_cow_f1,val_cow_f1_opt
0,1,0.8777777777777778,"374,402,432,433",37,0.8777777777777778,0.5882352941176471,0.7272727272727273,0.6216216216216216,0.7407407407407407,0.4166666666666667,1.0,13,14,0,10,1.0,0.5,1.0
1,0,0.5409356725146198,"310,378,417,427",37,0.5409356725146198,0.6521739130434783,0.6909090909090909,0.5675675675675675,0.5614035087719298,0.5555555555555556,0.7894736842105263,6,12,4,15,0.5,0.6666666666666666,0.6666666666666666
2,0,0.3823529411764706,"370,394,415,436",37,0.3823529411764706,0.5714285714285714,0.6296296296296297,0.43243243243243246,0.4617647058823529,0.4375,0.8235294117647058,2,18,3,14,0.5,0.6666666666666666,0.6666666666666666
3,11,0.4166666666666667,"323,349,352,439",20,0.4166666666666667,0.43478260869565216,0.75,0.35,0.33333333333333337,0.45454545454545453,0.4166666666666667,2,6,7,5,0.5,0.4,0.6666666666666666
4,14,0.891156462585034,"354,405,421,428",28,0.891156462585034,0.8260869565217391,0.9230769230769231,0.7142857142857143,0.5238095238095238,0.76,0.9047619047619048,1,6,2,19,1.0,0.6666666666666666,1.0
5,11,0.4166666666666667,"406,425,426,438",32,0.4166666666666667,0.3870967741935484,0.7692307692307693,0.40625,0.44166666666666665,0.5454545454545454,0.3,7,5,14,6,0.5,0.5,0.6666666666666666
6,1,0.9111111111111111,"255,355,387,446",30,0.9111111111111111,0.6976744186046512,0.7857142857142857,0.5666666666666667,0.5666666666666667,0.5357142857142857,1.0,2,13,0,15,1.0,0.6666666666666666,1.0
