fold,best_epoch,best_score,val_cows,val_n,val_auc,val_f1,val_f1_opt,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_tn,val_fp,val_fn,val_tp,val_cow_auc,val_cow_f1,val_cow_f1_opt,temperature,val_calibrated_auc,val_calibrated_f1_opt,val_calibrated_cow_auc
0,0,0.9385546588407924,"354,402,415,428",76,0.9141599413059427,0.041666666666666664,0.7642276422764228,0.39473684210526316,0.5106382978723404,1.0,0.02127659574468085,29,0,46,1,1.0,0.0,0.6666666666666666,10.0,0.9141599413059427,0.7642276422764228,1.0
1,35,0.7752403846153847,"323,387,425,432",42,0.7932692307692308,0.0,0.6086956521739131,0.6190476190476191,0.5,0.0,0.0,26,0,16,0,0.75,0.0,0.6666666666666666,1.2357110977172852,0.7932692307692308,0.6511627906976745,0.75
2,0,0.4917391304347827,"394,406,426,438",43,0.4260869565217392,0.09523809523809523,0.6349206349206349,0.5581395348837209,0.525,1.0,0.05,23,0,19,1,0.5,0.0,0.6666666666666666,2.903053045272827,0.4260869565217392,0.6349206349206349,0.5
3,2,0.8167245370370371,"310,405,421,439",70,0.7326388888888888,0.25806451612903225,0.8709677419354839,0.34285714285714286,0.5740740740740741,1.0,0.14814814814814814,16,0,46,8,1.0,0.0,0.6666666666666666,10.0,0.7326388888888888,0.8709677419354839,1.0
4,49,0.9416666666666668,"255,352,355,446",49,0.919607843137255,0.2564102564102564,0.9041095890410958,0.40816326530612246,0.5735294117647058,1.0,0.14705882352941177,15,0,29,5,1.0,0.0,1.0,4.647071838378906,0.919607843137255,0.8192771084337349,1.0
