fold,best_epoch,best_score,val_cows,val_n,val_auc,val_f1,val_f1_opt,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_tn,val_fp,val_fn,val_tp,val_cow_auc,val_cow_f1,val_cow_f1_opt,temperature,val_calibrated_auc,val_calibrated_f1_opt,val_calibrated_cow_auc
0,6,0.9351063829787234,"354,402,415,428",76,0.9082905355832722,0.041666666666666664,0.7642276422764228,0.39473684210526316,0.5106382978723404,1.0,0.02127659574468085,29,0,46,1,1.0,0.0,0.6666666666666666,10.0,0.9082905355832722,0.7642276422764228,1.0
1,0,0.42620192307692306,"323,387,425,432",42,0.3221153846153846,0.0,0.5517241379310345,0.6190476190476191,0.5,0.0,0.0,26,0,16,0,0.5,0.0,0.6666666666666666,0.9999610185623169,0.3221153846153846,0.5517241379310345,0.5
2,1,0.4623913043478261,"394,406,426,438",43,0.36086956521739133,0.18181818181818182,0.6349206349206349,0.5813953488372093,0.55,1.0,0.1,23,0,18,2,0.5,0.0,0.6666666666666666,1.4888758659362793,0.36086956521739133,0.6349206349206349,0.5
3,0,0.8067708333333332,"310,405,421,439",70,0.7002314814814815,0.4722222222222222,0.8709677419354839,0.45714285714285713,0.6261574074074074,0.9444444444444444,0.3148148148148148,15,1,37,17,1.0,0.6666666666666666,1.0,10.0,0.7002314814814815,0.8709677419354839,1.0
4,78,0.835,"255,352,355,446",49,0.7431372549019608,0.05714285714285714,0.8192771084337349,0.32653061224489793,0.5147058823529411,1.0,0.029411764705882353,15,0,33,1,1.0,0.0,0.6666666666666666,10.0,0.7431372549019608,0.8192771084337349,1.0
