fold,epoch,train_loss,val_loss,task1_acc,task1_f1_fixed,task1_thr_opt,task1_f1_opt,task1_f1_sel,task2_acc,task2_f1_weighted,task2_f1_macro,task2_precision_weighted,task2_recall_weighted,task2_pred_count_c0,task2_pred_frac_c0,task2_true_count_c0,task2_true_frac_c0,task2_pred_count_c1,task2_pred_frac_c1,task2_true_count_c1,task2_true_frac_c1,task2_pred_count_c2,task2_pred_frac_c2,task2_true_count_c2,task2_true_frac_c2,task2_recall_c0,task2_recall_c1,task2_recall_c2,task2_n_val,task2_dummy_count,task2_dummy_frac,task2_decode_errors,task2_avg_available_frames,combined_metric,lr,val_used_ema
7,1,3.613191604614258,3.995880365371704,0.6521739130434783,0.7894736842105263,0.05,0.7894736842105263,0.7894736842105263,0.30434782608695654,0.14202898550724638,0.15555555555555556,0.09262759924385634,0.30434782608695654,0.0,0.0,16.0,0.34782608695652173,46.0,1.0,14.0,0.30434782608695654,0.0,0.0,16.0,0.34782608695652173,0.0,1.0,0.0,46.0,0.0,0.0,0.0,237.19565217391303,0.46575133485888637,5e-05,0.0
7,2,3.1033667855792575,3.6934189001719155,0.6521739130434783,0.7894736842105263,0.5499999999999999,0.8135593220338984,0.7894736842105263,0.30434782608695654,0.14202898550724638,0.15555555555555556,0.09262759924385634,0.30434782608695654,0.0,0.0,16.0,0.34782608695652173,46.0,1.0,14.0,0.30434782608695654,0.0,0.0,16.0,0.34782608695652173,0.0,1.0,0.0,46.0,0.0,0.0,0.0,237.19565217391303,0.46575133485888637,0.0001,0.0
7,3,2.8472842242982654,3.5483949184417725,0.6956521739130435,0.8108108108108109,0.5499999999999999,0.8450704225352113,0.8108108108108109,0.30434782608695654,0.14202898550724638,0.15555555555555556,0.09262759924385634,0.30434782608695654,0.0,0.0,16.0,0.34782608695652173,46.0,1.0,14.0,0.30434782608695654,0.0,0.0,16.0,0.34782608695652173,0.0,1.0,0.0,46.0,0.0,0.0,0.0,237.19565217391303,0.47641989815902863,0.0001,0.0
7,4,2.939132226838006,3.3579795360565186,0.717391304347826,0.821917808219178,0.49999999999999994,0.821917808219178,0.821917808219178,0.34782608695652173,0.3017902813299233,0.3058823529411765,0.6256038647342995,0.34782608695652173,1.0,0.021739130434782608,16.0,0.34782608695652173,36.0,0.782608695652174,14.0,0.30434782608695654,9.0,0.1956521739130435,16.0,0.34782608695652173,0.0625,0.7142857142857143,0.3125,46.0,0.0,0.0,0.0,237.19565217391303,0.5618540447745507,0.0001,0.0
7,5,2.91027424732844,3.1745439370473227,0.717391304347826,0.8,0.44999999999999996,0.821917808219178,0.8,0.3695652173913043,0.2593440122044241,0.26900584795321636,0.4469160768452983,0.3695652173913043,3.0,0.06521739130434782,16.0,0.34782608695652173,43.0,0.9347826086956522,14.0,0.30434782608695654,0.0,0.0,16.0,0.34782608695652173,0.1875,1.0,0.0,46.0,0.0,0.0,0.0,237.19565217391303,0.5296720061022121,0.0001,0.0
7,6,2.814974162313673,3.015620390574137,0.717391304347826,0.821917808219178,0.65,0.8524590163934426,0.821917808219178,0.3695652173913043,0.2593440122044241,0.26900584795321636,0.4469160768452983,0.3695652173913043,3.0,0.06521739130434782,16.0,0.34782608695652173,43.0,0.9347826086956522,14.0,0.30434782608695654,0.0,0.0,16.0,0.34782608695652173,0.1875,1.0,0.0,46.0,0.0,0.0,0.0,237.19565217391303,0.5406309102118011,0.0001,0.0
7,7,2.7609406312306723,3.2091987133026123,0.6956521739130435,0.8,0.39999999999999997,0.821917808219178,0.8,0.3695652173913043,0.2593440122044241,0.26900584795321636,0.4469160768452983,0.3695652173913043,3.0,0.06521739130434782,16.0,0.34782608695652173,43.0,0.9347826086956522,14.0,0.30434782608695654,0.0,0.0,16.0,0.34782608695652173,0.1875,1.0,0.0,46.0,0.0,0.0,0.0,237.19565217391303,0.5296720061022121,0.0001,0.0
7,8,2.639935466978285,3.4097687403361,0.717391304347826,0.8059701492537313,0.44999999999999996,0.8333333333333334,0.8059701492537313,0.3695652173913043,0.2593440122044241,0.26900584795321636,0.4469160768452983,0.3695652173913043,3.0,0.06521739130434782,16.0,0.34782608695652173,43.0,0.9347826086956522,14.0,0.30434782608695654,0.0,0.0,16.0,0.34782608695652173,0.1875,1.0,0.0,46.0,0.0,0.0,0.0,237.19565217391303,0.5326570807290777,0.0001,0.0
7,9,2.633270263671875,2.9992264906565347,0.7391304347826086,0.8333333333333334,0.49999999999999994,0.8333333333333334,0.8333333333333334,0.3695652173913043,0.2593440122044241,0.26900584795321636,0.4469160768452983,0.3695652173913043,3.0,0.06521739130434782,16.0,0.34782608695652173,43.0,0.9347826086956522,14.0,0.30434782608695654,0.0,0.0,16.0,0.34782608695652173,0.1875,1.0,0.0,46.0,0.0,0.0,0.0,237.19565217391303,0.5463386727688787,0.0001,0.0
7,10,2.531774918238322,3.5949838161468506,0.6304347826086957,0.6382978723404256,0.35,0.7936507936507936,0.6382978723404256,0.4782608695652174,0.37644623066617955,0.38281979458450044,0.31086956521739134,0.4782608695652174,26.0,0.5652173913043478,16.0,0.34782608695652173,20.0,0.43478260869565216,14.0,0.30434782608695654,0.0,0.0,16.0,0.34782608695652173,0.8125,0.6428571428571429,0.0,46.0,0.0,0.0,0.0,237.19565217391303,0.5073720515033026,0.0001,0.0
7,11,2.487850308418274,3.005415121714274,0.7608695652173914,0.8307692307692308,0.39999999999999997,0.8333333333333334,0.8307692307692308,0.391304347826087,0.32298136645962733,0.3299319727891156,0.3652173913043478,0.391304347826087,8.0,0.17391304347826086,16.0,0.34782608695652173,35.0,0.7608695652173914,14.0,0.30434782608695654,3.0,0.06521739130434782,16.0,0.34782608695652173,0.375,0.8571428571428571,0.0,46.0,0.0,0.0,0.0,237.19565217391303,0.5768752986144291,0.0001,0.0
7,12,2.60700566901101,3.2667500178019204,0.717391304347826,0.8059701492537313,0.39999999999999997,0.8333333333333334,0.8059701492537313,0.391304347826087,0.29991796554552913,0.30943396226415093,0.45707915273132665,0.391304347826087,4.0,0.08695652173913043,16.0,0.34782608695652173,39.0,0.8478260869565217,14.0,0.30434782608695654,3.0,0.06521739130434782,16.0,0.34782608695652173,0.25,1.0,0.0,46.0,0.0,0.0,0.0,237.19565217391303,0.5529440573996303,0.0001,0.0
