fold,epoch,train_loss,val_loss,task1_acc,task1_f1_fixed,task1_thr_opt,task1_f1_opt,task1_f1_sel,task2_acc,task2_f1_weighted,task2_f1_macro,task2_precision_weighted,task2_recall_weighted,task2_pred_count_c0,task2_pred_frac_c0,task2_true_count_c0,task2_true_frac_c0,task2_pred_count_c1,task2_pred_frac_c1,task2_true_count_c1,task2_true_frac_c1,task2_pred_count_c2,task2_pred_frac_c2,task2_true_count_c2,task2_true_frac_c2,task2_recall_c0,task2_recall_c1,task2_recall_c2,task2_n_val,task2_dummy_count,task2_dummy_frac,task2_decode_errors,task2_avg_available_frames,combined_metric,lr,val_used_ema
8,1,3.4151042009654797,2.6014689604441323,0.4888888888888889,0.0,0.05,0.6764705882352942,0.0,0.4222222222222222,0.25069444444444444,0.19791666666666666,0.1782716049382716,0.4222222222222222,0.0,0.0,22.0,0.4888888888888889,0.0,0.0,4.0,0.08888888888888889,45.0,1.0,19.0,0.4222222222222222,0.0,0.0,1.0,45.0,0.0,0.0,0.0,237.55555555555554,0.12534722222222222,5e-05,0.0
8,2,3.399107864028529,2.5686461130777993,0.4666666666666667,0.4,0.05,0.6764705882352942,0.4,0.26666666666666666,0.29866666666666664,0.27999999999999997,0.7580246913580247,0.26666666666666666,3.0,0.06666666666666667,22.0,0.4888888888888889,36.0,0.8,4.0,0.08888888888888889,6.0,0.13333333333333333,19.0,0.4222222222222222,0.09090909090909091,1.0,0.3157894736842105,45.0,0.0,0.0,0.0,237.55555555555554,0.34933333333333333,0.0001,0.0
8,3,2.5568317049428035,2.540556788444519,0.4222222222222222,0.5517241379310345,0.44999999999999996,0.676923076923077,0.5517241379310345,0.28888888888888886,0.31969405302738635,0.2971432971432972,0.6941077441077441,0.28888888888888886,4.0,0.08888888888888889,22.0,0.4888888888888889,33.0,0.7333333333333333,4.0,0.08888888888888889,8.0,0.17777777777777778,19.0,0.4222222222222222,0.13636363636363635,1.0,0.3157894736842105,45.0,0.0,0.0,0.0,237.55555555555554,0.43570909547921044,0.0001,0.0
8,4,2.853785426993119,2.5230170090993247,0.4888888888888889,0.6229508196721312,0.05,0.6764705882352942,0.6229508196721312,0.28888888888888886,0.3300220922677063,0.30424951267056527,0.7260130718954249,0.28888888888888886,5.0,0.1111111111111111,22.0,0.4888888888888889,34.0,0.7555555555555555,4.0,0.08888888888888889,6.0,0.13333333333333333,19.0,0.4222222222222222,0.13636363636363635,1.0,0.3157894736842105,45.0,0.0,0.0,0.0,237.55555555555554,0.47648645596991873,0.0001,0.0
8,5,2.545006927691008,2.51182222366333,0.5333333333333333,0.6666666666666666,0.39999999999999997,0.696969696969697,0.6666666666666666,0.28888888888888886,0.3300220922677063,0.30424951267056527,0.7260130718954249,0.28888888888888886,5.0,0.1111111111111111,22.0,0.4888888888888889,34.0,0.7555555555555555,4.0,0.08888888888888889,6.0,0.13333333333333333,19.0,0.4222222222222222,0.13636363636363635,1.0,0.3157894736842105,45.0,0.0,0.0,0.0,237.55555555555554,0.49834437946718646,0.0001,0.0
8,6,2.557203123444005,2.468515157699585,0.5333333333333333,0.6181818181818182,0.44999999999999996,0.6779661016949152,0.6181818181818182,0.37777777777777777,0.4322962962962963,0.3847474747474748,0.7460317460317459,0.37777777777777777,11.0,0.24444444444444444,22.0,0.4888888888888889,28.0,0.6222222222222222,4.0,0.08888888888888889,6.0,0.13333333333333333,19.0,0.4222222222222222,0.3181818181818182,1.0,0.3157894736842105,45.0,0.0,0.0,0.0,237.55555555555554,0.5252390572390573,0.0001,0.0
8,7,2.470042711810062,2.6265981197357178,0.5333333333333333,0.6666666666666666,0.65,0.6774193548387096,0.6666666666666666,0.28888888888888886,0.3300220922677063,0.30424951267056527,0.7260130718954249,0.28888888888888886,5.0,0.1111111111111111,22.0,0.4888888888888889,34.0,0.7555555555555555,4.0,0.08888888888888889,6.0,0.13333333333333333,19.0,0.4222222222222222,0.13636363636363635,1.0,0.3157894736842105,45.0,0.0,0.0,0.0,237.55555555555554,0.49834437946718646,0.0001,0.0
8,8,2.3254500878484627,2.507493336995443,0.4444444444444444,0.46808510638297873,0.05,0.6764705882352942,0.46808510638297873,0.4222222222222222,0.4431083505866114,0.4187991718426501,0.6609356725146199,0.4222222222222222,20.0,0.4444444444444444,22.0,0.4888888888888889,19.0,0.4222222222222222,4.0,0.08888888888888889,6.0,0.13333333333333333,19.0,0.4222222222222222,0.4090909090909091,1.0,0.3157894736842105,45.0,0.0,0.0,0.0,237.55555555555554,0.45559672848479504,0.0001,0.0
8,9,2.4426141789084985,2.500449021657308,0.37777777777777777,0.391304347826087,0.05,0.6764705882352942,0.391304347826087,0.4,0.4280634920634921,0.39160173160173156,0.6379084967320261,0.4,22.0,0.4888888888888889,22.0,0.4888888888888889,17.0,0.37777777777777777,4.0,0.08888888888888889,6.0,0.13333333333333333,19.0,0.4222222222222222,0.4090909090909091,0.75,0.3157894736842105,45.0,0.0,0.0,0.0,237.55555555555554,0.40968391994478953,0.0001,0.0
8,10,2.6538686313127218,2.5995799700419107,0.5555555555555556,0.6666666666666666,0.6,0.6785714285714286,0.6666666666666666,0.3333333333333333,0.39100212856534694,0.3490166028097062,0.7825396825396825,0.3333333333333333,7.0,0.15555555555555556,22.0,0.4888888888888889,32.0,0.7111111111111111,4.0,0.08888888888888889,6.0,0.13333333333333333,19.0,0.4222222222222222,0.22727272727272727,1.0,0.3157894736842105,45.0,0.0,0.0,0.0,237.55555555555554,0.5288343976160068,0.0001,0.0
