fold,epoch,train_loss,val_loss,task1_acc,task1_f1_fixed,task1_thr_opt,task1_f1_opt,task1_f1_sel,task2_acc,task2_f1_weighted,task2_f1_macro,task2_precision_weighted,task2_recall_weighted,task2_pred_count_c0,task2_pred_frac_c0,task2_true_count_c0,task2_true_frac_c0,task2_pred_count_c1,task2_pred_frac_c1,task2_true_count_c1,task2_true_frac_c1,task2_pred_count_c2,task2_pred_frac_c2,task2_true_count_c2,task2_true_frac_c2,task2_recall_c0,task2_recall_c1,task2_recall_c2,task2_n_val,task2_dummy_count,task2_dummy_frac,task2_decode_errors,task2_avg_available_frames,combined_metric,lr,val_used_ema
5,1,3.373013913631439,4.788304567337036,0.3,0.0,0.05,0.8235294117647058,0.0,0.15,0.03913043478260869,0.08695652173913043,0.0225,0.15,0.0,0.0,6.0,0.3,20.0,1.0,3.0,0.15,0.0,0.0,11.0,0.55,0.0,1.0,0.0,20.0,0.0,0.0,0.0,235.15,0.019565217391304346,5e-05,0.0
5,2,3.2820428371429444,4.232045650482178,0.75,0.8484848484848485,0.5499999999999999,0.9230769230769231,0.8484848484848485,0.15,0.03913043478260869,0.08695652173913043,0.0225,0.15,0.0,0.0,6.0,0.3,20.0,1.0,3.0,0.15,0.0,0.0,11.0,0.55,0.0,1.0,0.0,20.0,0.0,0.0,0.0,235.15,0.4438076416337286,0.0001,0.0
5,3,3.0175259113311768,3.886338949203491,0.7,0.8235294117647058,0.6,0.9333333333333333,0.8235294117647058,0.15,0.03913043478260869,0.08695652173913043,0.0225,0.15,0.0,0.0,6.0,0.3,20.0,1.0,3.0,0.15,0.0,0.0,11.0,0.55,0.0,1.0,0.0,20.0,0.0,0.0,0.0,235.15,0.43132992327365727,0.0001,0.0
5,4,2.890241640806198,3.7612380981445312,0.7,0.8235294117647058,0.65,0.9230769230769231,0.8235294117647058,0.15,0.03913043478260869,0.08695652173913043,0.0225,0.15,0.0,0.0,6.0,0.3,20.0,1.0,3.0,0.15,0.0,0.0,11.0,0.55,0.0,1.0,0.0,20.0,0.0,0.0,0.0,235.15,0.43132992327365727,0.0001,0.0
5,5,2.862507462501526,3.455674171447754,0.7,0.8235294117647058,0.75,0.9655172413793104,0.8235294117647058,0.15,0.03913043478260869,0.08695652173913043,0.0225,0.15,0.0,0.0,6.0,0.3,20.0,1.0,3.0,0.15,0.0,0.0,11.0,0.55,0.0,1.0,0.0,20.0,0.0,0.0,0.0,235.15,0.43132992327365727,0.0001,0.0
5,6,2.6394683361053466,3.2252919673919678,0.7,0.8235294117647058,0.7,0.9655172413793104,0.8235294117647058,0.15,0.03913043478260869,0.08695652173913043,0.0225,0.15,0.0,0.0,6.0,0.3,20.0,1.0,3.0,0.15,0.0,0.0,11.0,0.55,0.0,1.0,0.0,20.0,0.0,0.0,0.0,235.15,0.43132992327365727,0.0001,0.0
5,7,2.6012606382369996,3.055859327316284,0.7,0.8235294117647058,0.75,0.9655172413793104,0.8235294117647058,0.15,0.03913043478260869,0.08695652173913043,0.0225,0.15,0.0,0.0,6.0,0.3,20.0,1.0,3.0,0.15,0.0,0.0,11.0,0.55,0.0,1.0,0.0,20.0,0.0,0.0,0.0,235.15,0.43132992327365727,0.0001,0.0
5,8,2.6024170517921448,2.7874767184257507,0.8,0.875,0.7,0.9230769230769231,0.875,0.2,0.1266233766233766,0.18614718614718614,0.3236842105263158,0.2,1.0,0.05,6.0,0.3,19.0,0.95,3.0,0.15,0.0,0.0,11.0,0.55,0.16666666666666666,1.0,0.0,20.0,0.0,0.0,0.0,235.15,0.5008116883116883,0.0001,0.0
5,9,2.552955800294876,2.6984711289405823,0.95,0.9629629629629629,0.49999999999999994,0.9629629629629629,0.9629629629629629,0.4,0.3227272727272727,0.41414141414141414,0.32999999999999996,0.4,5.0,0.25,6.0,0.3,15.0,0.75,3.0,0.15,0.0,0.0,11.0,0.55,0.8333333333333334,1.0,0.0,20.0,0.0,0.0,0.0,235.15,0.6428451178451178,0.0001,0.0
5,10,2.526882362365723,2.8778716325759888,0.8,0.875,0.75,0.88,0.875,0.2,0.1266233766233766,0.18614718614718614,0.3236842105263158,0.2,1.0,0.05,6.0,0.3,19.0,0.95,3.0,0.15,0.0,0.0,11.0,0.55,0.16666666666666666,1.0,0.0,20.0,0.0,0.0,0.0,235.15,0.5008116883116883,0.0001,0.0
5,11,2.575622487068176,3.124269485473633,0.75,0.8484848484848485,0.75,0.9230769230769231,0.8484848484848485,0.35,0.41571428571428565,0.29523809523809524,0.6666666666666666,0.35,1.0,0.05,6.0,0.3,10.0,0.5,3.0,0.15,9.0,0.45,11.0,0.55,0.16666666666666666,0.0,0.5454545454545454,20.0,0.0,0.0,0.0,235.15,0.632099567099567,0.0001,0.0
5,12,2.344180142879486,2.8855113983154297,0.9,0.9230769230769231,0.44999999999999996,0.9285714285714286,0.9230769230769231,0.4,0.4668449197860962,0.4206773618538324,0.575,0.4,5.0,0.25,6.0,0.3,9.0,0.45,3.0,0.15,6.0,0.3,11.0,0.55,0.8333333333333334,0.0,0.2727272727272727,20.0,0.0,0.0,0.0,235.15,0.6949609214315097,0.0001,0.0
5,13,2.512826752662659,3.282542407512665,0.7,0.7857142857142857,0.7,0.8333333333333334,0.7857142857142857,0.4,0.45,0.3333333333333333,0.5166666666666666,0.4,4.0,0.2,6.0,0.3,7.0,0.35,3.0,0.15,9.0,0.45,11.0,0.55,0.3333333333333333,0.0,0.5454545454545454,20.0,0.0,0.0,0.0,235.15,0.6178571428571429,0.0001,0.0
5,14,2.2583416163921357,2.9146976470947266,0.9,0.9230769230769231,0.49999999999999994,0.9230769230769231,0.9230769230769231,0.45,0.4894736842105263,0.39766081871345027,0.54375,0.45,6.0,0.3,6.0,0.3,6.0,0.3,3.0,0.15,8.0,0.4,11.0,0.55,0.6666666666666666,0.0,0.45454545454545453,20.0,0.0,0.0,0.0,235.15,0.7062753036437247,0.0001,0.0
