fold,best_epoch,best_score,val_cows,val_n,val_auc,val_f1,val_f1_opt,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_tn,val_fp,val_fn,val_tp,val_cow_auc,val_cow_f1,val_cow_f1_opt,temperature,val_calibrated_auc,val_calibrated_f1_opt,val_calibrated_cow_auc
0,0,0.8575925925925926,"374,402,432,433",37,0.7888888888888889,0.0,0.46153846153846156,0.7297297297297297,0.5,0.0,0.0,27,0,10,0,1.0,0.0,0.4,0.23289945721626282,0.7888888888888889,0.5882352941176471,1.0
1,12,0.5112573099415204,"310,378,417,427",37,0.4678362573099415,0.5,0.6785714285714286,0.5135135135135135,0.5146198830409356,0.5294117647058824,0.47368421052631576,10,8,10,9,0.5,0.5,0.6666666666666666,10.0,0.4678362573099415,0.6785714285714286,0.5
2,0,0.7129411764705882,"370,394,415,436",37,0.6676470588235294,0.19047619047619047,0.6296296296296297,0.5405405405405406,0.5088235294117647,0.5,0.11764705882352941,18,2,15,2,0.75,0.0,0.6666666666666666,1.5765457153320312,0.6676470588235294,0.6296296296296297,0.75
3,41,0.6255208333333333,"323,349,352,439",20,0.5104166666666666,0.5263157894736842,0.75,0.55,0.5833333333333334,0.7142857142857143,0.4166666666666667,6,2,7,5,0.75,0.6666666666666666,0.6666666666666666,4.31995964050293,0.5104166666666666,0.75,0.5
4,4,0.9258503401360545,"354,405,421,428",28,0.8775510204081632,0.851063829787234,0.8571428571428571,0.75,0.5476190476190476,0.7692307692307693,0.9523809523809523,1,6,1,20,1.0,0.6666666666666666,1.0,0.22696101665496826,0.8775510204081632,0.875,1.0
5,0,0.7697916666666667,"406,425,426,438",32,0.6291666666666667,0.4444444444444444,0.7692307692307693,0.53125,0.6083333333333333,0.8571428571428571,0.3,11,1,14,6,1.0,0.0,0.6666666666666666,1.6671056747436523,0.6291666666666667,0.7692307692307693,1.0
6,6,0.9253333333333333,"255,355,387,446",30,0.8933333333333333,0.7567567567567568,0.8125,0.7,0.7,0.6363636363636364,0.9333333333333333,7,8,1,14,1.0,0.8,1.0,0.4187152087688446,0.8933333333333333,0.8387096774193549,1.0
